VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Distance_between_service,Time_between_service,Trip_type 
1,2015-01-01 00:36:13,2015-01-01 00:44:08,N,1,-73.964378356933594,40.712627410888672,-73.940788269042969,40.712127685546875,1,1.50,7.5,0.5,0.5,2.2,0,,0.3,11,1,2.00,143,1
1,2015-01-01 00:35:53,2015-01-01 00:40:28,N,1,-73.940673828125,40.800037384033203,-73.939674377441406,40.790164947509766,1,1.00,5.5,0.5,0.5,0,0,,0.3,6.8,2,8.00,485,1
2,2015-01-01 00:37:13,2015-01-01 00:37:35,N,2,-73.944129943847656,40.792346954345703,-73.942611694335938,40.79443359375,1,.10,52,0,0.5,0,0,,0.3,52.8,2,8.00,6163,1
2,2015-01-01 00:37:31,2015-01-01 00:37:52,N,3,-73.990577697753906,40.689048767089844,-73.990524291992188,40.689048767089844,1,.00,20,0.5,0,0,0,,0.3,20.8,2,.00,381,1
2,2015-01-01 00:37:23,2015-01-01 00:39:42,N,1,-73.918716430664063,40.765663146972656,-73.910736083984375,40.761898040771484,1,.49,4,0.5,0.5,0,0,,0.3,5.3,2,8.00,3223,1
2,2015-01-01 00:37:46,2015-01-01 00:41:57,N,1,-73.956436157226563,40.685077667236328,-73.95782470703125,40.675357818603516,6,.79,5,0.5,0.5,1.65,0,,0.3,7.95,1,.00,3729,1
2,2015-01-01 00:37:25,2015-01-01 00:42:57,N,1,-73.964057922363281,40.807296752929687,-73.951545715332031,40.814521789550781,1,1.34,6.5,0.5,0.5,0,0,,0.3,7.8,2,1.00,470,1
2,2015-01-01 00:39:04,2015-01-01 00:42:55,N,1,-73.940963745117187,40.788433074951172,-73.94049072265625,40.797416687011719,1,.73,5,0.5,0.5,0,0,,0.3,6.3,2,2.00,21609,1
2,2015-01-01 00:37:11,2015-01-01 00:44:22,N,1,-73.966026306152344,40.710762023925781,-73.95770263671875,40.722095489501953,1,1.05,6.5,0.5,0.5,0,0,,0.3,7.8,1,.00,2722,1
2,2015-01-01 00:37:16,2015-01-01 00:44:16,N,1,-73.889480590820313,40.747173309326172,-73.907981872558594,40.748561859130859,2,2.14,8,0.5,0.5,0,0,,0.3,9.3,2,.00,446,1
2,2015-01-01 00:39:03,2015-01-01 00:43:57,N,1,-73.957420349121094,40.805221557617188,-73.963630676269531,40.798259735107422,1,.75,5,0.5,0.5,0,0,,0.3,6.3,2,.00,343,1
2,2015-01-01 00:36:59,2015-01-01 00:45:14,N,1,-73.993110656738281,40.702438354492188,-73.974845886230469,40.688758850097656,1,2.03,8,0.5,0.5,0,0,,0.3,9.3,2,5.00,13477,1
2,2015-01-01 00:38:18,2015-01-01 00:45:52,N,1,-73.923080444335938,40.743892669677734,-73.916572570800781,40.757808685302734,1,1.40,7.5,0.5,0.5,1.6,0,,0.3,10.4,1,.00,932,1
